country,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
Jordan,"28.89 
 (25.32 to 32.81)","38.54 
 (33.58 to 49.55)","4.56 
 (3.91 to 5.23)","1.72 
 (1.47 to 1.97)","0.12 
 (0.10 to 0.14)"
Japan,"7.71 
 (5.82 to 11.53)","8.79 
 (6.60 to 12.95)","4.76 
 (3.62 to 6.28)","1.36 
 (1.05 to 1.78)","0.02 
 (0.02 to 0.03)"
Kazakhstan,"16.53 
 (13.32 to 18.21)","25.92 
 (21.09 to 33.66)","22.27 
 (19.29 to 25.73)","5.32 
 (4.79 to 5.92)","0.51 
 (0.46 to 0.57)"
Kenya,"26.19 
 (22.85 to 40.36)","37.76 
 (32.30 to 51.19)","5.81 
 (5.41 to 6.29)","0.89 
 (0.83 to 0.96)","0.18 
 (0.17 to 0.20)"
Kyrgyzstan,"5.77 
 (4.89 to 7.25)","8.40 
 (6.44 to 11.77)","2.22 
 (1.85 to 2.51)","0.64 
 (0.59 to 0.70)","0.33 
 (0.30 to 0.36)"
Cambodia,"56.13 
 (50.82 to 61.18)","66.91 
 (58.93 to 76.37)","13.08 
 (12.05 to 14.55)","1.16 
 (1.07 to 1.29)","0.18 
 (0.17 to 0.21)"
Republic of Korea,"0.98 
 (0.48 to 2.31)","1.18 
 (0.68 to 2.32)","0.23 
 (0.13 to 0.42)","0.12 
 (0.07 to 0.22)","0.00 
 (0.00 to 0.00)"
Lebanon,"2.18 
 (1.45 to 3.61)","3.08 
 (2.12 to 5.21)","0.91 
 (0.62 to 1.50)","0.32 
 (0.22 to 0.52)","0.02 
 (0.01 to 0.02)"
Libya,"86.41 
 (78.83 to 102.73)","113.28 
 (102.50 to 144.60)","16.65 
 (15.26 to 20.22)","2.98 
 (2.74 to 3.61)","0.51 
 (0.47 to 0.62)"
Lithuania,"22.86 
 (20.84 to 25.70)","24.47 
 (21.51 to 28.68)","1.13 
 (1.06 to 1.24)","0.69 
 (0.65 to 0.75)","0.05 
 (0.05 to 0.05)"
Luxembourg,"46.38 
 (39.86 to 53.71)","47.12 
 (39.93 to 55.51)","29.61 
 (25.59 to 34.04)","14.39 
 (12.60 to 16.49)","0.48 
 (0.42 to 0.55)"
Latvia,"10.40 
 (9.42 to 11.82)","10.54 
 (9.30 to 12.07)","2.74 
 (2.46 to 3.10)","1.75 
 (1.58 to 1.98)","0.07 
 (0.07 to 0.08)"
Morocco,"23.69 
 (19.49 to 28.25)","27.35 
 (22.65 to 33.69)","4.04 
 (3.26 to 4.88)","2.09 
 (1.69 to 2.52)","0.12 
 (0.10 to 0.15)"
